id,area,square_feet,num_bedrooms,num_bathrooms,year_built,has_garage,price
27329,Hinjewadi,3467,5,2,1982,0,8967229
27330,Viman Nagar,2031,1,2,2013,0,13421083
27331,Koregaon Park,3464,3,2,1993,1,12970746
27332,Kalyani Nagar,1742,2,1,1999,0,2670087
27333,Koregaon Park,1584,1,3,1995,1,2732613
27334,Viman Nagar,1343,2,2,2005,0,9108913
27335,Kalyani Nagar,2232,1,2,1997,1,2895458
27336,Hinjewadi,2167,4,2,2021,0,2479211
27337,Pimpri-Chinchwad,900,4,3,2001,1,9053845
27338,Hinjewadi,2501,2,3,1984,0,7133023
27339,Pimpri-Chinchwad,1960,5,2,2014,1,9783992
27340,Hinjewadi,1507,3,2,2013,1,11686638
27341,Viman Nagar,1550,1,2,2016,0,14775439
27342,Koregaon Park,2719,4,1,1986,1,4243188
27343,Pimpri-Chinchwad,2789,1,2,2018,1,12944673
27344,Viman Nagar,3068,4,3,1985,1,7246714
27345,Koregaon Park,2252,4,3,2000,0,10976454
27346,Koregaon Park,1930,5,3,1991,1,5184381
27347,Kalyani Nagar,2272,5,1,1982,0,2422684
27348,Kalyani Nagar,808,3,2,1980,0,14499994
27349,Kalyani Nagar,2192,1,3,2016,0,12445536
27350,Pimpri-Chinchwad,1508,4,3,2018,1,3448293
27351,Pimpri-Chinchwad,1155,4,2,2022,0,14510936
27352,Koregaon Park,1167,2,1,1983,0,6274103
27353,Pimpri-Chinchwad,3091,3,3,2002,1,13558893
27354,Koregaon Park,2090,2,2,2017,0,14447749
27355,Viman Nagar,2993,1,1,2023,0,8867742
27356,Hinjewadi,833,5,1,2014,0,8822436
27357,Koregaon Park,1487,3,3,2003,0,12049948
27358,Koregaon Park,1061,4,3,2007,1,10268871
27359,Viman Nagar,2970,2,3,1983,0,4530637
27360,Kalyani Nagar,1592,4,1,2000,1,8357772
27361,Kalyani Nagar,2279,1,1,1993,1,7029102
27362,Kalyani Nagar,1561,5,3,2021,1,12152644
27363,Koregaon Park,2808,1,3,2008,0,5649045
27364,Koregaon Park,3091,1,3,2009,0,8940589
27365,Pimpri-Chinchwad,3250,2,2,2017,1,3819170
27366,Pimpri-Chinchwad,2446,2,2,2014,1,3440057
27367,Hinjewadi,3213,3,2,2012,0,13421235
27368,Hinjewadi,2076,5,1,1990,0,14627631
27369,Pimpri-Chinchwad,1472,5,2,2017,0,7799404
27370,Koregaon Park,2746,5,3,1982,1,5721424
27371,Viman Nagar,1150,5,3,2005,1,13849078
27372,Pimpri-Chinchwad,3409,5,3,2007,0,8392510
27373,Koregaon Park,850,4,3,1983,1,14027798
27374,Pimpri-Chinchwad,953,1,3,1985,0,12855910
27375,Kalyani Nagar,1361,2,1,2022,1,12876366
27376,Pimpri-Chinchwad,1854,5,3,2013,1,13909384
27377,Kalyani Nagar,1474,5,1,1999,0,11331067
27378,Koregaon Park,1123,2,1,2008,0,12595041
27379,Kalyani Nagar,1063,3,3,2017,0,4396468
27380,Pimpri-Chinchwad,2661,4,1,2021,0,7738889
27381,Kalyani Nagar,2927,1,1,1989,1,14626589
27382,Viman Nagar,2955,3,1,1997,0,10733861
27383,Kalyani Nagar,2413,1,2,2009,1,4585583
27384,Kalyani Nagar,2829,4,3,2001,1,6665334
27385,Hinjewadi,1116,4,1,1994,1,5735760
27386,Viman Nagar,2673,3,2,1991,0,12762286
27387,Koregaon Park,3327,4,1,1980,1,4166252
27388,Kalyani Nagar,1355,2,1,2021,1,8881449
27389,Viman Nagar,1984,4,1,2016,1,7904585
27390,Koregaon Park,2239,5,2,2021,1,9146959
27391,Viman Nagar,3075,1,3,1992,1,7276736
27392,Hinjewadi,1662,4,3,2022,1,6273239
27393,Koregaon Park,3362,3,2,2018,1,13478304
27394,Koregaon Park,3079,2,3,2019,0,12073942
27395,Kalyani Nagar,3459,2,3,2006,1,6432928
27396,Pimpri-Chinchwad,3481,4,1,2006,0,5343148
27397,Koregaon Park,2941,3,1,1999,1,7761680
27398,Koregaon Park,1858,4,3,1982,1,13335019
27399,Hinjewadi,2022,5,1,2013,1,4065871
27400,Hinjewadi,3297,3,1,2001,0,7798208
27401,Hinjewadi,2764,5,2,2015,0,14455113
27402,Kalyani Nagar,1038,4,2,2013,0,5993332
27403,Koregaon Park,2964,1,3,2003,0,9551953
27404,Hinjewadi,1460,2,1,2014,1,9091541
27405,Hinjewadi,2787,4,2,2012,0,5625874
27406,Viman Nagar,3245,4,1,2005,0,8536835
27407,Viman Nagar,2470,5,3,1995,0,8895693
27408,Hinjewadi,1629,4,2,1992,1,4461141
27409,Kalyani Nagar,1562,5,1,2005,0,7551242
27410,Pimpri-Chinchwad,1215,4,2,1988,1,8749708
27411,Viman Nagar,2068,2,2,1983,1,11432934
27412,Viman Nagar,1391,2,1,1981,1,8444589
27413,Koregaon Park,1720,3,3,1989,1,13603872
27414,Koregaon Park,1783,3,1,1989,1,5448476
27415,Hinjewadi,2760,4,2,1999,0,3537630
27416,Koregaon Park,3319,2,1,1999,0,12224267
27417,Koregaon Park,1100,5,1,2007,1,7305513
27418,Pimpri-Chinchwad,2465,4,1,1982,1,6534684
27419,Kalyani Nagar,2450,1,1,1982,1,4862975
27420,Hinjewadi,1273,3,1,2021,0,6635052
27421,Pimpri-Chinchwad,1280,3,2,2019,0,2579234
27422,Hinjewadi,3331,3,2,1980,1,5457963
27423,Kalyani Nagar,3055,5,1,1993,0,13429632
27424,Hinjewadi,2438,3,2,2023,0,3194187
27425,Koregaon Park,2996,2,3,1984,1,2861060
27426,Kalyani Nagar,1188,3,3,2004,0,5207994
27427,Pimpri-Chinchwad,1612,5,1,2018,1,8176178
27428,Pimpri-Chinchwad,1999,4,2,2018,0,12527319
27429,Viman Nagar,2341,1,1,2000,0,10646109
27430,Pimpri-Chinchwad,1081,4,2,1999,1,2812935
27431,Viman Nagar,1970,4,2,2002,1,13870430
27432,Koregaon Park,1820,3,2,1990,0,9523056
27433,Pimpri-Chinchwad,3224,4,1,2001,0,9705142
27434,Kalyani Nagar,1096,1,1,1990,0,6475188
27435,Viman Nagar,1266,3,3,1991,0,8490278
27436,Pimpri-Chinchwad,1547,2,1,2015,1,12529528
27437,Koregaon Park,2192,4,1,2010,1,13359839
27438,Kalyani Nagar,2097,3,2,2016,1,10928880
27439,Kalyani Nagar,1204,5,3,1987,1,11057817
27440,Koregaon Park,2168,5,1,2016,1,12026294
27441,Pimpri-Chinchwad,3426,4,1,1993,0,9830857
27442,Hinjewadi,2928,1,3,2013,0,14473686
27443,Pimpri-Chinchwad,3118,2,2,1990,0,3139855
27444,Viman Nagar,813,2,2,1993,0,7623044
27445,Viman Nagar,963,3,1,1987,1,7972630
27446,Pimpri-Chinchwad,2734,2,1,2009,1,13305126
27447,Viman Nagar,1397,5,3,1987,0,5536575
27448,Hinjewadi,3231,2,2,2021,1,5772260
27449,Hinjewadi,3354,4,2,1989,1,2642876
27450,Kalyani Nagar,1776,1,3,2021,0,4985899
27451,Viman Nagar,1701,5,3,2003,1,10150030
27452,Pimpri-Chinchwad,1348,2,1,1988,0,2356251
27453,Kalyani Nagar,2279,2,2,2008,0,12526487
27454,Hinjewadi,1463,3,1,2006,1,13566153
27455,Kalyani Nagar,866,4,2,2016,1,10401297
27456,Koregaon Park,2885,5,1,1982,0,5811495
27457,Viman Nagar,1625,3,3,2003,0,14402240
27458,Pimpri-Chinchwad,1658,2,3,1999,0,9105850
27459,Hinjewadi,1587,4,2,1985,0,8911078
27460,Kalyani Nagar,2914,3,1,2009,1,6356006
27461,Pimpri-Chinchwad,3143,1,2,2000,0,8724997
27462,Viman Nagar,2819,2,3,2021,1,10059199
27463,Pimpri-Chinchwad,925,4,1,1994,1,3617990
27464,Viman Nagar,800,1,1,1996,0,5653281
27465,Viman Nagar,3252,4,1,2007,0,8596864
27466,Viman Nagar,2385,4,2,2004,1,6702737
27467,Kalyani Nagar,1321,5,1,1997,1,2357787
27468,Viman Nagar,1084,4,3,2016,0,8632218
27469,Pimpri-Chinchwad,2059,3,3,2018,0,11514977
27470,Koregaon Park,939,2,1,2007,0,8780910
27471,Pimpri-Chinchwad,1764,4,3,1987,1,12490276
27472,Kalyani Nagar,1011,1,3,2014,0,12909888
27473,Viman Nagar,2891,4,1,1991,0,3517724
27474,Koregaon Park,2338,5,2,2020,0,7485536
27475,Kalyani Nagar,1201,5,3,1990,0,13137300
27476,Hinjewadi,2407,5,1,2002,1,2538954
27477,Hinjewadi,1564,1,1,1986,1,7143092
27478,Hinjewadi,2944,5,1,1989,0,6906656
27479,Koregaon Park,1865,4,3,2014,1,8746395
27480,Pimpri-Chinchwad,1043,5,1,2000,0,3607929
27481,Koregaon Park,1411,2,3,2003,1,7586328
27482,Koregaon Park,1887,2,3,2014,1,12317046
27483,Koregaon Park,1827,2,2,1997,0,8964880
27484,Hinjewadi,3253,4,3,2021,0,10367864
27485,Pimpri-Chinchwad,2452,5,1,2008,1,11033985
27486,Koregaon Park,3225,4,2,2012,0,5197142
27487,Pimpri-Chinchwad,2149,1,1,1991,1,3199795
27488,Viman Nagar,2286,2,1,1994,1,10846342
27489,Koregaon Park,1252,3,3,1992,1,2870221
27490,Koregaon Park,2967,3,1,2012,0,3227930
27491,Koregaon Park,2450,2,2,2010,0,10347906
27492,Viman Nagar,1499,4,2,1987,1,6020517
27493,Viman Nagar,3391,3,2,2011,0,7022601
27494,Hinjewadi,2557,4,3,2022,1,14265922
27495,Kalyani Nagar,1055,5,2,1997,1,9407462
27496,Pimpri-Chinchwad,2674,1,1,2022,1,5174205
27497,Kalyani Nagar,1391,4,3,1992,1,7703409
27498,Koregaon Park,3424,3,3,1991,1,11463817
27499,Koregaon Park,3001,4,3,2005,0,8321107
27500,Hinjewadi,2777,4,3,1999,1,3092639
27501,Kalyani Nagar,2893,5,1,1988,0,6503909
27502,Koregaon Park,3128,5,2,1983,0,3823966
27503,Kalyani Nagar,1842,3,3,1981,0,2514539
27504,Hinjewadi,3086,3,3,2012,1,12004670
27505,Kalyani Nagar,1725,1,2,1984,1,13871227
27506,Pimpri-Chinchwad,1228,4,1,2011,0,10429626
27507,Hinjewadi,2242,2,2,1984,0,8559495
27508,Kalyani Nagar,897,3,3,2011,1,4130768
27509,Koregaon Park,2156,3,1,2019,0,8073892
27510,Viman Nagar,820,5,2,2015,1,6745871
27511,Viman Nagar,2505,4,1,2016,1,4532578
27512,Hinjewadi,1654,1,3,2000,1,12213480
27513,Viman Nagar,2821,2,2,2010,0,10854448
27514,Pimpri-Chinchwad,3170,3,1,2001,1,5433458
27515,Hinjewadi,2098,5,1,2020,1,10546895
27516,Koregaon Park,2596,1,3,1988,1,6221937
27517,Koregaon Park,2369,1,2,2001,0,10907924
27518,Hinjewadi,1106,4,2,1989,1,6081234
27519,Viman Nagar,3017,2,1,2010,1,7835380
27520,Viman Nagar,3136,1,2,2023,1,6189161
27521,Koregaon Park,2304,5,1,1981,1,5148251
27522,Pimpri-Chinchwad,2152,4,3,1994,1,8427835
27523,Viman Nagar,1787,5,1,2017,1,4157129
27524,Pimpri-Chinchwad,3453,5,3,1993,1,11238651
27525,Viman Nagar,1714,5,1,1987,0,14234980
27526,Hinjewadi,1038,2,3,1986,1,7028450
27527,Kalyani Nagar,3422,1,1,2002,0,13283995
27528,Koregaon Park,3114,5,3,1989,0,14858833
27529,Hinjewadi,2232,3,2,1993,1,3930354
27530,Viman Nagar,1502,3,3,2003,1,6517814
27531,Koregaon Park,2714,3,3,2009,1,11272909
27532,Kalyani Nagar,2139,5,1,2017,0,8160710
27533,Kalyani Nagar,1740,5,3,2020,0,8982655
27534,Viman Nagar,3360,4,1,2006,1,6148177
27535,Koregaon Park,1690,3,2,2012,1,2351169
27536,Viman Nagar,3278,2,2,2014,0,8959021
27537,Kalyani Nagar,849,2,1,2001,0,14712580
27538,Hinjewadi,3487,3,1,2008,0,3275242
27539,Hinjewadi,870,1,3,2012,0,13308379
27540,Pimpri-Chinchwad,1806,2,1,2005,0,4751087
27541,Kalyani Nagar,2693,2,3,1986,1,11973808
27542,Kalyani Nagar,1935,1,3,2007,1,3996856
27543,Viman Nagar,2681,1,1,1983,0,6607482
27544,Pimpri-Chinchwad,1969,2,1,2004,1,10823567
27545,Pimpri-Chinchwad,2443,1,2,2005,0,13641127
27546,Koregaon Park,872,1,3,1990,0,3888844
27547,Viman Nagar,2022,4,2,2003,1,5829291
27548,Hinjewadi,1849,1,3,2021,1,11422582
27549,Koregaon Park,3316,2,1,1999,0,6244526
27550,Pimpri-Chinchwad,3220,4,3,1987,0,4698603
27551,Hinjewadi,2959,2,1,1981,0,5345140
27552,Kalyani Nagar,895,5,1,2023,0,6807456
27553,Viman Nagar,1410,1,2,1993,0,13792898
27554,Pimpri-Chinchwad,2682,1,3,2009,0,8916506
27555,Kalyani Nagar,1550,2,1,1981,1,5982116
27556,Pimpri-Chinchwad,2137,5,1,2022,0,5682725
27557,Hinjewadi,2077,2,3,1990,0,3981367
27558,Koregaon Park,830,4,2,1989,0,7113188
27559,Hinjewadi,1921,2,1,2017,0,2821122
27560,Viman Nagar,3021,3,2,1999,0,8536080
27561,Viman Nagar,1452,2,2,1991,0,11425826
27562,Pimpri-Chinchwad,2547,4,1,1989,1,10477902
27563,Hinjewadi,1857,2,3,1997,0,5226945
27564,Koregaon Park,2110,1,1,2015,1,4268132
27565,Viman Nagar,2761,1,3,2015,0,13951921
27566,Koregaon Park,1685,4,1,1981,0,14966846
27567,Kalyani Nagar,1658,2,1,2005,0,9625440
27568,Pimpri-Chinchwad,3322,1,1,1994,1,6326539
27569,Koregaon Park,2681,5,1,2021,0,13271884
27570,Pimpri-Chinchwad,3037,2,2,2014,0,5269022
27571,Kalyani Nagar,2874,1,3,1990,1,2434779
27572,Koregaon Park,841,4,1,1992,1,14141279
27573,Koregaon Park,1631,5,1,2018,1,10817168
27574,Kalyani Nagar,2711,4,3,1998,0,12254686
27575,Hinjewadi,1440,4,3,2022,0,14225515
27576,Koregaon Park,1530,3,2,1980,0,5050704
27577,Koregaon Park,3435,3,1,1991,1,10110928
27578,Viman Nagar,1320,1,3,1987,1,4522832
27579,Hinjewadi,2531,2,3,1996,1,10912710
27580,Koregaon Park,3015,1,3,2018,0,9493825
27581,Kalyani Nagar,1826,4,1,1996,1,14958351
27582,Pimpri-Chinchwad,1311,5,1,1985,0,13186142
27583,Kalyani Nagar,1968,3,1,1997,1,8559320
27584,Hinjewadi,1298,3,3,2021,0,6480960
27585,Viman Nagar,2753,3,1,1988,0,8790565
27586,Viman Nagar,969,2,1,1987,1,3041717
27587,Viman Nagar,2751,1,1,1985,1,12268483
27588,Kalyani Nagar,2571,4,2,1988,1,8263074
27589,Pimpri-Chinchwad,1820,5,1,1993,1,11910895
27590,Pimpri-Chinchwad,3208,2,3,2013,1,11181489
27591,Koregaon Park,2273,2,2,2015,0,4212656
27592,Pimpri-Chinchwad,810,2,3,2011,1,6434482
27593,Pimpri-Chinchwad,1831,3,3,1983,0,13414507
27594,Koregaon Park,1594,2,2,1991,0,13171966
27595,Kalyani Nagar,2408,1,2,1991,1,5409767
27596,Kalyani Nagar,2736,3,2,1989,1,7756240
27597,Hinjewadi,2977,5,1,1982,0,11325113
27598,Kalyani Nagar,3253,3,1,2014,0,13091687
27599,Viman Nagar,1884,1,2,2012,0,6412812
27600,Viman Nagar,3312,3,3,2000,0,8919263
27601,Hinjewadi,2329,2,3,2001,0,11208890
27602,Pimpri-Chinchwad,2039,4,1,1992,0,3001277
27603,Hinjewadi,1541,5,2,1988,0,14894816
27604,Koregaon Park,2736,3,2,1987,0,4382470
27605,Hinjewadi,2789,3,1,2017,0,4262220
27606,Hinjewadi,1493,4,1,1998,0,12247697
27607,Viman Nagar,2761,1,3,2002,1,3240407
27608,Koregaon Park,2667,4,1,1993,0,8327479
27609,Koregaon Park,2096,3,2,1999,0,5065990
27610,Hinjewadi,1344,1,3,1984,0,12370754
27611,Koregaon Park,1802,3,3,1984,1,10804705
27612,Koregaon Park,911,3,3,1987,0,2164258
27613,Kalyani Nagar,3216,2,3,2015,0,7126581
27614,Koregaon Park,3000,2,3,1985,0,12028757
27615,Pimpri-Chinchwad,3161,1,1,2022,0,2549194
27616,Koregaon Park,2687,5,2,2001,0,8023305
27617,Viman Nagar,1645,2,3,1985,1,4975231
27618,Kalyani Nagar,3277,2,2,1987,1,8293101
27619,Viman Nagar,1663,4,2,1983,0,13032859
27620,Viman Nagar,933,3,1,2020,0,5516713
27621,Pimpri-Chinchwad,3197,5,1,1994,0,9580946
27622,Kalyani Nagar,3499,5,3,2017,0,5610677
27623,Hinjewadi,2453,5,3,2021,1,2956718
27624,Koregaon Park,2837,4,2,1999,0,11889985
27625,Pimpri-Chinchwad,1541,1,1,1997,1,13314465
27626,Pimpri-Chinchwad,2740,2,1,2018,0,5667676
27627,Hinjewadi,3405,2,2,2005,1,4067447
27628,Pimpri-Chinchwad,2600,4,3,2001,1,4558711
27629,Hinjewadi,1772,4,2,2008,0,5032897
27630,Hinjewadi,2311,3,1,2000,0,4939892
27631,Hinjewadi,1682,3,1,2009,0,14262307
27632,Pimpri-Chinchwad,1260,2,1,2016,0,11800959
27633,Hinjewadi,909,3,2,1988,1,3797063
27634,Pimpri-Chinchwad,2738,2,3,2011,1,8103576
27635,Kalyani Nagar,1702,2,1,2009,0,6557746
27636,Hinjewadi,1664,4,1,1990,1,9825757
27637,Pimpri-Chinchwad,2410,4,1,2008,1,11543556
27638,Pimpri-Chinchwad,2538,2,1,1987,1,13332240
27639,Pimpri-Chinchwad,1748,3,3,1982,1,7639044
27640,Koregaon Park,3158,5,3,1989,0,14859984
27641,Koregaon Park,2958,2,1,1998,0,11600631
27642,Hinjewadi,1096,5,2,1993,1,2227265
27643,Kalyani Nagar,2630,1,3,1989,1,5709513
27644,Hinjewadi,2950,3,2,1984,0,4305091
27645,Viman Nagar,2362,5,2,1980,0,13128803
27646,Viman Nagar,3400,4,2,2006,1,9020699
27647,Kalyani Nagar,1244,4,3,1989,1,9330253
27648,Kalyani Nagar,2784,2,2,2013,0,13702263
27649,Kalyani Nagar,2413,4,3,2002,1,7035689
27650,Koregaon Park,2257,2,1,1994,0,13769212
27651,Koregaon Park,3417,4,3,2005,1,6716671
27652,Viman Nagar,2687,3,3,1985,1,13409787
27653,Kalyani Nagar,2706,2,1,2023,1,12550419
27654,Pimpri-Chinchwad,2346,2,1,2017,0,2906371
27655,Viman Nagar,913,3,2,1989,1,9195127
27656,Kalyani Nagar,2137,3,2,1989,1,8723989
27657,Pimpri-Chinchwad,3040,4,2,2020,1,4166743
27658,Kalyani Nagar,1397,2,2,2019,1,3636792
27659,Hinjewadi,2537,3,2,2021,1,4184467
27660,Pimpri-Chinchwad,1689,3,2,2013,0,6699696
27661,Hinjewadi,2827,2,3,1993,0,7577302
27662,Koregaon Park,2551,5,3,2003,0,10281581
27663,Viman Nagar,2073,2,2,2008,0,4661516
27664,Kalyani Nagar,2797,1,1,2018,1,11553028
27665,Viman Nagar,1832,2,2,1983,0,8103872
27666,Kalyani Nagar,2844,3,2,1995,0,13849932
27667,Hinjewadi,3337,1,3,2012,0,7325435
27668,Pimpri-Chinchwad,2467,2,2,2013,0,5248169
27669,Pimpri-Chinchwad,1763,5,1,2018,1,6548907
27670,Kalyani Nagar,1006,2,1,2009,1,8180842
27671,Hinjewadi,2926,2,1,1988,1,9133066
27672,Kalyani Nagar,3307,2,3,2017,0,5920887
27673,Kalyani Nagar,1086,3,1,1994,1,2732798
27674,Kalyani Nagar,1936,1,2,2009,0,12489388
27675,Pimpri-Chinchwad,2249,3,2,2015,0,4086708
27676,Kalyani Nagar,3074,2,3,1990,1,12289342
27677,Pimpri-Chinchwad,1577,2,1,1983,1,10290050
27678,Koregaon Park,1680,3,3,1996,1,2714086
27679,Hinjewadi,2230,3,1,1981,1,4805052
27680,Koregaon Park,2039,1,3,2017,1,4572145
27681,Kalyani Nagar,3170,3,1,1984,1,9407229
27682,Pimpri-Chinchwad,994,3,2,2014,0,3168560
27683,Hinjewadi,825,3,2,2021,1,13382839
27684,Viman Nagar,3118,4,2,1989,1,6862735
27685,Hinjewadi,1633,3,3,2014,1,8885252
27686,Hinjewadi,2987,4,1,2003,0,11654883
27687,Kalyani Nagar,2174,4,2,2006,0,11092339
27688,Koregaon Park,2725,3,3,2020,0,4207276
27689,Koregaon Park,1791,4,2,2001,1,8604304
27690,Viman Nagar,3391,3,3,1986,1,14595709
27691,Kalyani Nagar,1080,2,1,1981,0,3193424
27692,Hinjewadi,1553,2,2,1983,0,13671766
27693,Koregaon Park,1685,1,3,1998,0,5850500
27694,Koregaon Park,1758,3,3,2017,1,4540108
27695,Pimpri-Chinchwad,1586,3,1,1992,1,3661675
27696,Hinjewadi,2438,5,1,2001,1,8296855
27697,Kalyani Nagar,3012,5,3,2007,0,6512862
27698,Koregaon Park,2291,3,1,2023,1,5134311
27699,Kalyani Nagar,1267,3,2,1982,0,9484405
27700,Hinjewadi,1337,2,3,1989,0,12863087
27701,Hinjewadi,3156,1,1,2010,0,13482575
27702,Koregaon Park,2214,5,3,1991,1,6902198
27703,Viman Nagar,1577,2,2,1982,1,3233229
27704,Kalyani Nagar,2553,4,1,1982,1,12215285
27705,Kalyani Nagar,803,1,2,2003,0,10206823
27706,Pimpri-Chinchwad,1334,2,1,2003,1,3543914
27707,Hinjewadi,1898,2,1,1983,1,6790561
27708,Hinjewadi,1514,4,1,2007,0,10534603
27709,Koregaon Park,1917,3,1,2003,1,4963207
27710,Koregaon Park,3218,4,2,2012,1,10826578
27711,Koregaon Park,3282,1,2,2021,0,5013512
27712,Pimpri-Chinchwad,3493,5,3,1980,0,7665986
27713,Viman Nagar,1989,4,1,2003,1,6991462
27714,Koregaon Park,3339,5,1,2023,1,12385325
27715,Koregaon Park,1690,4,3,2022,1,13515411
27716,Koregaon Park,2365,2,2,2005,1,4087810
27717,Pimpri-Chinchwad,820,1,1,2005,1,5904217
27718,Kalyani Nagar,1628,1,2,1985,1,12120824
27719,Viman Nagar,2803,5,2,2001,0,8954395
27720,Kalyani Nagar,1330,2,2,2017,1,8999047
27721,Hinjewadi,1452,2,2,2008,1,5946134
27722,Hinjewadi,861,3,2,2006,1,14870012
27723,Koregaon Park,1506,5,3,1996,0,12529499
27724,Kalyani Nagar,2986,3,3,2003,1,10432687
27725,Pimpri-Chinchwad,1886,2,2,1980,1,8037663
27726,Viman Nagar,1935,1,3,1998,0,12564459
27727,Kalyani Nagar,947,4,2,1984,0,7053701
27728,Kalyani Nagar,1447,2,2,1980,1,6775664
27729,Viman Nagar,1481,4,3,1999,1,3354672
27730,Kalyani Nagar,3419,4,1,2000,0,4615586
27731,Kalyani Nagar,2781,3,1,2013,0,14193339
27732,Viman Nagar,2085,2,1,1984,0,7517410
27733,Pimpri-Chinchwad,1959,1,1,2004,0,3002480
27734,Viman Nagar,3158,4,3,2023,0,5409112
27735,Koregaon Park,877,3,3,1998,1,4249867
27736,Koregaon Park,1816,4,2,1994,1,9506010
27737,Koregaon Park,949,3,1,2019,0,2351854
27738,Koregaon Park,2233,3,2,1993,1,5030246
27739,Hinjewadi,1887,2,3,2020,1,14424473
27740,Pimpri-Chinchwad,1325,5,2,2002,1,12379720
27741,Hinjewadi,945,1,3,1987,1,2491043
27742,Kalyani Nagar,2133,2,1,1993,1,13105600
27743,Kalyani Nagar,2705,5,3,1988,1,13994591
27744,Viman Nagar,1706,5,3,1988,1,14382991
27745,Koregaon Park,2314,1,1,1986,0,6233535
27746,Viman Nagar,1473,2,1,2021,1,4349387
27747,Kalyani Nagar,3243,5,3,2000,1,2960238
27748,Koregaon Park,3298,5,2,1994,1,12291661
27749,Pimpri-Chinchwad,1522,2,2,1995,0,3488658
27750,Kalyani Nagar,2774,1,3,2008,1,10602597
27751,Viman Nagar,2659,1,3,2013,1,2219289
27752,Viman Nagar,1217,5,1,1991,0,7239077
27753,Kalyani Nagar,2285,5,2,2011,0,9342025
27754,Hinjewadi,1529,1,3,2023,0,11917277
27755,Pimpri-Chinchwad,2683,3,3,1987,1,2571797
27756,Kalyani Nagar,2032,5,3,1999,0,3849217
27757,Kalyani Nagar,2031,5,3,2002,1,4072173
27758,Viman Nagar,3031,1,2,1985,1,10539688
27759,Koregaon Park,2170,5,2,2000,0,6694964
27760,Koregaon Park,2226,5,3,2022,0,3249026
27761,Koregaon Park,2741,4,1,2016,0,13575051
27762,Viman Nagar,1087,4,2,2011,0,14374626
27763,Koregaon Park,2968,3,3,2001,1,11371796
27764,Kalyani Nagar,1900,2,1,1981,0,2359671
27765,Hinjewadi,3257,2,3,1996,0,9430297
27766,Hinjewadi,2122,1,2,2001,1,11117151
27767,Hinjewadi,2454,3,3,1996,1,5503827
27768,Koregaon Park,3437,1,1,1997,1,5455861
27769,Hinjewadi,1730,1,2,2005,1,5656879
27770,Koregaon Park,2803,1,2,1985,1,7558218
27771,Kalyani Nagar,1193,4,2,2004,1,7892973
27772,Kalyani Nagar,2547,5,3,2011,0,2430215
27773,Viman Nagar,2294,5,2,2018,0,4956539
27774,Viman Nagar,1576,1,3,2004,0,5718496
27775,Pimpri-Chinchwad,1817,3,3,2006,0,4371579
27776,Kalyani Nagar,1450,1,2,1994,0,10409592
27777,Koregaon Park,1519,2,1,1980,0,12090777
27778,Pimpri-Chinchwad,3210,1,1,1984,1,6407463
27779,Kalyani Nagar,2164,3,3,1994,0,5711825
27780,Koregaon Park,2788,5,1,2020,1,14501355
27781,Kalyani Nagar,2761,1,2,2015,0,9815675
27782,Kalyani Nagar,3361,4,1,2021,0,10501643
27783,Koregaon Park,2215,1,3,2022,0,6280532
27784,Kalyani Nagar,3216,2,1,2021,1,6290716
27785,Kalyani Nagar,881,1,1,2010,0,4880428
27786,Kalyani Nagar,1406,2,2,1987,0,5275214
27787,Viman Nagar,1755,3,2,2020,0,8866938
27788,Hinjewadi,1443,2,1,2002,0,3545798
27789,Kalyani Nagar,1975,5,2,2013,0,12258998
27790,Koregaon Park,1193,4,2,1992,1,7497835
27791,Kalyani Nagar,2583,5,3,1985,0,3317121
27792,Viman Nagar,3013,4,3,1989,1,4595394
27793,Viman Nagar,2978,2,2,2001,0,12797765
27794,Kalyani Nagar,1265,5,1,2004,1,11567255
27795,Pimpri-Chinchwad,1621,5,1,1982,0,3809285
27796,Hinjewadi,1149,5,3,2001,0,13234720
27797,Koregaon Park,2168,1,1,1982,1,12986897
27798,Koregaon Park,2976,2,2,1987,0,9095515
27799,Koregaon Park,3022,1,1,2002,1,2379349
27800,Koregaon Park,2524,5,1,2022,1,13882152
27801,Viman Nagar,2948,5,2,2020,0,4585753
27802,Hinjewadi,3393,5,2,1998,0,10200483
27803,Kalyani Nagar,2388,1,3,2002,0,9649385
27804,Kalyani Nagar,1751,4,2,2021,1,7596303
27805,Pimpri-Chinchwad,3117,4,2,1992,1,9598262
27806,Kalyani Nagar,2760,3,2,2023,0,5843448
27807,Hinjewadi,2853,5,3,1983,0,10526568
27808,Kalyani Nagar,1672,3,3,1992,1,10281059
27809,Viman Nagar,2116,3,3,2013,1,11343838
27810,Kalyani Nagar,2657,3,3,1980,1,13338528
27811,Koregaon Park,2981,3,1,1986,1,2480391
27812,Koregaon Park,1022,3,2,1985,0,10923913
27813,Koregaon Park,2584,3,2,2014,1,10052248
27814,Koregaon Park,2027,5,2,2013,0,4219531
27815,Viman Nagar,2584,2,1,2019,0,6162509
27816,Viman Nagar,1440,2,1,2010,0,13146791
27817,Viman Nagar,2882,1,1,1991,1,13577450
27818,Kalyani Nagar,3446,3,1,1997,0,12802034
27819,Koregaon Park,1370,4,1,2015,1,3391599
27820,Pimpri-Chinchwad,2034,5,1,2007,0,5470122
27821,Pimpri-Chinchwad,3105,3,3,2021,0,11385714
27822,Koregaon Park,3222,5,3,2003,0,3078696
